id;name;description;created_by;created_date;last_modified_by;last_modified_date
1;furthermore lustrous;wisely apprehensive how;phew unto whoever;2026-04-02T17:35:30;untried furthermore sometimes;2026-04-02T08:58:47
2;pish galoshes pish;than unethically fooey;an huzzah yowza;2026-04-02T11:36:24;defrag;2026-04-02T04:47:31
3;barring pupil athletic;dusk unlike;salty intently;2026-04-02T21:11:07;informal;2026-04-02T20:19:43
4;for horse t-shirt;phew;thoroughly twine premeditation;2026-04-02T13:16:53;whoa;2026-04-02T11:06:15
5;french;roadway frantically;eek;2026-04-02T17:52:36;granny instead;2026-04-03T00:49:23
6;antique drat now;stunning;westernise;2026-04-02T12:11:46;octave outrun;2026-04-03T03:38:08
7;mmm drat;concerning meanwhile heavily;bid;2026-04-02T13:20:33;gah judicious;2026-04-02T12:14:51
8;mostly hierarchy ascribe;poetry separately calmly;short-term;2026-04-03T03:41:12;enchanted;2026-04-03T02:14:31
9;so bah;arrange;psst past;2026-04-02T14:19:39;furthermore treble loosely;2026-04-02T16:22:54
10;via crest defiantly;vulgarise;over fuss annual;2026-04-02T21:06:12;gah hold dilate;2026-04-02T12:44:33
